name,lon,lat,dist
Calçoene,-50.9447727343,2.4965590446,#NAME?
Cutias,-50.8016260299,0.9710780554,#NAME?
Ferreira Gomes,-51.187429046,0.8539773931,#NAME?
Itaubal,-50.7001794374,0.6006532883,#NAME?
Laranjal do Jari,-52.5390207369,-0.8556645,#NAME?
Macapá,-51.057405457,0.03895101,#NAME?
Mazagão,-51.2860768561,-0.1243963288,#NAME?
Oiapoque,-51.8305525553,3.8511307326,#NAME?
Porto Grande,-51.414448823,0.7125547018,#NAME?
Pracuúba,-50.7842537213,1.7425084871,#NAME?
Santana,-51.1728464651,-0.0383734791,#NAME?
Tartarugalzinho,-50.9127861523,1.5098482403,#NAME?
Vitória do Jari,-52.4196147796,-0.9189770885,#NAME?
Abreulândia,-49.1624375555,-9.621790712,#NAME?
Aguiarnópolis,-47.4704565879,-6.5471708206,#NAME?
Aliança do Tocantins,-48.9412400221,-11.3037430465,#NAME?
Almas,-47.1741716842,-11.5745234694,#NAME?
Alvorada,-49.1268114067,-12.4788153208,#NAME?
Ananás,-48.0797646062,-6.3628181541,#NAME?
Angico,-47.8620778392,-6.3877527497,#NAME?
Aparecida do Rio Negro,-47.9766700114,-9.9558777146,#NAME?
Aragominas,-48.5234301923,-7.1643492714,#NAME?
Araguacema,-49.5618126396,-8.8018025441,#NAME?
Araguaçu,-49.8286124433,-12.9255837119,#NAME?
Araguaína,-48.2087052519,-7.1913289397,#NAME?
Araguanã,-48.6437495469,-6.58224942,#NAME?
Araguatins,-48.123507343,-5.650586473,#NAME?
Arapoema,-49.0756373853,-7.6525697354,#NAME?
Arraias,-46.9461070586,-12.9344198593,#NAME?
Augustinópolis,-47.880956791,-5.4654142959,#NAME?
Aurora do Tocantins,-46.4070829809,-12.7084898611,#NAME?
Axixá do Tocantins,-47.7741560325,-5.6243090659,#NAME?
Babaçulândia,-47.758816127,-7.2018645321,#NAME?
Bandeirantes do Tocantins,-48.5783806049,-7.7648591413,#NAME?
Barra do Ouro,-47.6871349692,-7.6917665987,#NAME?
Barrolândia,-48.7314605907,-9.8316533645,#NAME?
Bernardo Sayão,-48.8990543467,-7.8685124833,#NAME?
Bom Jesus do Tocantins,-48.1663804935,-8.9633480129,#NAME?
Brasilândia do Tocantins,-48.4853744191,-8.3848893511,#NAME?
Brejinho de Nazaré,-48.5586602282,-11.0108050562,#NAME?
Buriti do Tocantins,-48.2232501281,-5.3135388564,#NAME?
