,UF,cidade,dist,lat,lon
1216,RN,São Vicente,2163.3832247373402,-0.10847158256710585,-0.6403379474630044
1217,RN,Senador Elói de Souza,2236.766879378935,-0.10535202557845906,-0.6230068615621089
1218,RN,Senador Georgino Avelino,2259.302307874902,-0.10748949375920068,-0.6130325222293226
1219,RN,Serra de São Bento,2200.602416620315,-0.11196927673940071,-0.6231434518095322
1220,RN,Serra do Mel,2246.9670488592074,-0.0901504681862409,-0.6464926676971446
1221,RN,Serra Negra do Norte,2081.620269612175,-0.1163084679715094,-0.6526654027293863
1222,RN,Serrinha,2225.575733289525,-0.10955591457249927,-0.6196153283139118
1223,RN,Serrinha dos Pintos,2106.6071286470037,-0.10671168839589595,-0.6625545436594025
1224,RN,Severiano Melo,2140.2990719370655,-0.10084840130293835,-0.6624673061186538
1225,RN,Sítio Novo,2217.8764976203,-0.10653649596313207,-0.6267555740593524
1226,RN,Taboleiro Grande,2121.227918397384,-0.10344134144901104,-0.6639855127883115
1227,RN,Taipu,2281.8130826953275,-0.09808168634858809,-0.6213170824069464
1228,RN,Tangará,2215.449238822404,-0.10816429099956587,-0.6248311813285612
1229,RN,Tenente Ananias,2059.69853844878,-0.11305446521974599,-0.6663544542749877
1230,RN,Tenente Laurentino Cruz,2168.1639681303336,-0.10728940616117119,-0.6408964230343629
1231,RN,Tibau do Sul,2258.490932848689,-0.10800222654946304,-0.6124814194942111
1232,RN,Timbaúba dos Batistas,2107.755924015755,-0.11280567814989302,-0.6505075979966352
1233,RN,Touros,2329.686443458753,-0.09080261837108074,-0.6188116030013084
1234,RN,Triunfo Potiguar,2170.6397840650457,-0.10239775195414524,-0.648979683435668
1235,RN,Umarizal,2126.3255631026022,-0.10454351141574623,-0.6599658615599447
1236,RN,Upanema,2188.7875308272596,-0.09846794488609427,-0.6503122439147966
1237,RN,Várzea,2226.4570354723137,-0.11080746164297113,-0.6174065692975325
1238,RN,Venha-Ver,2060.330639267008,-0.11029473532962562,-0.6717986995693341
1239,RN,Vera Cruz,2251.62922205321,-0.10551577329390567,-0.6183371590068115
1240,RN,Viçosa,2119.466030291904,-0.1045776360077601,-0.6623072299301817
1241,RN,Vila Flor,2247.9306541529236,-0.11017900314033781,-0.6121939136440422
1242,PB,Água Branca,1986.0569445927642,-0.13109290447623634,-0.6569804855470229
1243,PB,Aguiar,1998.6374383247537,-0.12382772034509185,-0.6663245036378801
1244,PB,Alagoa Grande,2146.794492345263,-0.12281489247202397,-0.6219287403981253
1245,PB,Alagoa Nova,2137.2193989713746,-0.12318182744487305,-0.6241202553433287
1246,PB,Alagoinha,2160.399424625538,-0.12126792695112096,-0.6203858583071361
1247,PB,Alcantil,2055.486748543069,-0.13511426328587417,-0.6293762758331317
